0,category
"{'embedding': [0.7052291631698608, -0.4677767753601074, -0.849563717842102, 1.6318837404251099, 0.7819201350212097, -1.0746663808822632, 0.6056495308876038, -0.5532230138778687, 0.4631407856941223, 1.3572667837142944, -0.9446517825126648, -1.3890247344970703, -0.3512505888938904, -0.013927266001701355, -0.10411448776721954, -1.352584958076477, 2.1770925521850586, -0.160863995552063, -0.3104155361652374, -1.1840620040893555, 1.052556037902832, 0.4437190592288971, 1.2342735528945923, 0.2141471803188324, 0.01734369993209839, -1.3945941925048828, -0.3293030858039856, -0.9814845323562622, 1.8390625715255737, -0.2996353507041931, 0.061224497854709625, -0.4091494381427765, -0.7312511801719666, -0.36373546719551086, 1.870187759399414, -0.6400120854377747, -1.6050828695297241, 2.3149049282073975, -0.5460314154624939, -0.3676127791404724, -0.970803439617157, 1.1429132223129272, 0.2720950245857239, -0.662885844707489, 0.9253617525100708, 0.37664368748664856, 0.006616029888391495, 0.5844355821609497, 0.9946748614311218, 1.3792712688446045, -2.1890664100646973, 1.0117671489715576, -1.3691248893737793, -0.016859382390975952, -0.8216174840927124, 1.0435816049575806, -0.7973135113716125, -0.25252699851989746, -2.1327381134033203, -0.625051736831665, -1.08462655544281, -0.45683753490448, -0.09657621383666992, -0.25394853949546814, -1.5514189004898071, 2.164487600326538, -0.23884525895118713, 2.6746268272399902, 0.5042145252227783, 0.6594761610031128, 0.139251708984375, 0.8529317378997803, -0.018196765333414078, -1.765496015548706, 0.01805785670876503, -1.5198233127593994, 0.18795698881149292, -2.2203590869903564, -2.899815320968628, -0.5318785905838013, -0.4357150197029114, -0.011039931327104568, 0.8571417927742004, -0.08630907535552979, -0.12468672543764114, 0.9542866945266724, -0.23029175400733948, -2.456885576248169, -0.5325074195861816, -1.0987794399261475, 0.8817810416221619, 1.4460029602050781, 1.2425516843795776, 1.3471903800964355, 0.506894588470459, -0.53757643699646, -0.44003698229789734, 2.4111106395721436, -0.7774378657341003, 0.06384136527776718, 0.1087041050195694, 1.977720022201538, 0.8113816380500793, -0.06354864686727524, 1.2268010377883911, 0.4842571020126343, 0.3691908121109009, -0.6043078899383545, -1.1243995428085327, -0.6992611289024353, -0.3665108382701874, 0.7300446629524231, -0.8702422380447388, 0.9100052118301392, -1.4593616724014282, -0.1019735187292099, -0.6581335067749023, -0.1026831567287445, -1.3033796548843384, 0.08960305154323578, 0.0875372514128685, 1.4910590648651123, 0.3004305362701416, -1.4361159801483154, -0.6760348677635193, 0.2066907286643982, -1.1344107389450073, 0.8954766988754272], 'facial_area': {'x': 149, 'y': 187, 'w': 712, 'h': 712}}",0
"{'embedding': [-0.3329857885837555, -0.33022335171699524, -0.8666527271270752, 1.5946872234344482, 2.301664352416992, 0.11657325178384781, -1.522974967956543, 1.9322019815444946, 1.022532343864441, 1.5141634941101074, 0.6474363207817078, -1.883998990058899, -1.3247525691986084, 0.5259287357330322, -0.4892630875110626, -0.4741291403770447, 2.2871696949005127, -0.3027909994125366, -1.1972988843917847, 0.4312324523925781, 0.7161779403686523, 0.41710934042930603, 0.8134801387786865, -0.16866624355316162, -1.0363231897354126, -2.1680119037628174, -0.37055954337120056, 0.28861522674560547, -0.615225076675415, 0.5137015581130981, -0.38618314266204834, -0.8472858667373657, -0.9471480846405029, -1.8840358257293701, 0.5112516283988953, 1.3619554042816162, -0.28282788395881653, 1.6997945308685303, -0.6957483887672424, 0.6872762441635132, -0.6934850215911865, -1.273988127708435, -0.01567336916923523, -0.05353200063109398, -0.2755141854286194, 0.13441582024097443, 0.7852944135665894, 0.354885458946228, 0.38171929121017456, 0.6761636734008789, -0.9708569645881653, 2.527618646621704, 0.049201808869838715, -0.2028127908706665, -0.9638606309890747, -0.11870281398296356, -0.38261592388153076, -0.9753987193107605, -1.3110560178756714, -0.23267024755477905, -1.1316967010498047, 0.659540593624115, 0.3202258050441742, 0.3646370470523834, 0.9319765567779541, 0.6312269568443298, 0.808765709400177, 2.8571581840515137, -0.4506349265575409, 0.9418224096298218, -0.3136243522167206, 0.69200599193573, -0.4922221302986145, -1.3506089448928833, 0.7272158265113831, 0.9662416577339172, 0.6423686742782593, -0.9483267664909363, -3.3150994777679443, 0.6505704522132874, -1.204066276550293, 0.014866767451167107, 1.534084677696228, 0.7454800009727478, -0.1717528998851776, 1.598209023475647, -1.9202046394348145, -1.1221630573272705, -0.16564638912677765, -1.4720726013183594, 2.1327154636383057, 0.24900811910629272, 0.8998166918754578, 1.5146069526672363, -0.3210330903530121, -0.35634589195251465, 0.0922423005104065, 1.024225115776062, -0.9863998293876648, 0.7993691563606262, 0.2655446529388428, 1.751671314239502, -0.7498079538345337, -1.3961058855056763, -0.4293919503688812, -0.38470059633255005, 0.10145576298236847, -0.37050795555114746, 1.420947790145874, 1.173096776008606, -1.4019869565963745, 1.0579863786697388, -0.008662149310112, 0.661691427230835, -0.8992937207221985, -1.4928860664367676, -0.620329737663269, -0.11424535512924194, -1.2207529544830322, -0.37316250801086426, -0.048411399126052856, 0.7046399116516113, -0.3716602325439453, -2.3955345153808594, 0.1885371208190918, -1.1783838272094727, 0.11221476644277573, 0.9874106645584106], 'facial_area': {'x': 215, 'y': 231, 'w': 621, 'h': 621}}",0
"{'embedding': [-0.6926108598709106, -0.6878057718276978, -0.12020761519670486, -0.44749996066093445, 0.19816447794437408, -0.13337691128253937, -0.21331492066383362, 0.20598503947257996, 0.09517515450716019, -0.0087105892598629, 0.2973312735557556, 0.38526278734207153, 0.5819225907325745, -0.3830203413963318, 0.05453634634613991, -0.14548459649085999, 0.6348689794540405, -0.41101717948913574, 0.29156428575515747, -0.35707399249076843, -0.05691837519407272, -0.44888851046562195, -0.3427358865737915, 0.11822335422039032, 0.08536578714847565, -0.24008578062057495, 0.8617745637893677, 0.16937774419784546, -0.525507926940918, -0.2902681529521942, -0.7684385776519775, 0.37871041893959045, -0.26103195548057556, 0.3319014310836792, 0.3798491358757019, 0.02839362993836403, 0.7131118774414062, -0.3125831186771393, -0.006284072995185852, -0.17772576212882996, 0.3016701638698578, 0.6267262101173401, 0.17030759155750275, 0.5284668803215027, -0.4515324532985687, -0.7012805938720703, 0.26070672273635864, -0.5458086729049683, 0.6769048571586609, 0.16750699281692505, -0.896679699420929, 0.13057944178581238, 0.18162932991981506, -0.5081275105476379, -0.21298110485076904, -0.059094272553920746, 0.6904057860374451, 0.10051226615905762, -0.4508468210697174, -0.8036234974861145, -0.5993753671646118, 0.5428854823112488, -0.31162378191947937, 0.6922284364700317, -0.10346274822950363, 0.982467770576477, 0.15570613741874695, 0.1543315052986145, 0.24246999621391296, -0.3703058958053589, 0.4646364748477936, -0.3397424519062042, 0.0026266202330589294, -0.3612949252128601, 0.5543684959411621, -0.23132652044296265, -0.20062866806983948, 0.018854346126317978, -0.26049813628196716, -0.39962899684906006, -0.27795422077178955, -0.27729737758636475, -0.3417991101741791, -0.18991751968860626, 0.5202186107635498, 0.6944769620895386, 0.2715449035167694, 0.42306143045425415, -0.8572986125946045, 1.1359069347381592, 0.1894248127937317, 0.1244187280535698, -0.27447882294654846, -0.204653799533844, 0.42927226424217224, 1.1122453212738037, 0.014003295451402664, -0.33998751640319824, -0.6774471998214722, 0.5125005841255188, -0.03592805936932564, 0.26434117555618286, 0.3307045102119446, -0.9228523373603821, 0.12740522623062134, 0.1837572455406189, -0.05901672691106796, -0.4985564649105072, -0.05580560117959976, -0.51079922914505, 0.11872002482414246, 0.00928887352347374, 0.4215855300426483, 0.2828402519226074, -0.1462671309709549, 0.11110641062259674, -0.482476145029068, 0.4032151699066162, 0.9426600337028503, 0.2870864272117615, -0.32960206270217896, -0.8138467073440552, 0.2664009928703308, -0.05132792145013809, 0.6113213896751404, -0.4949776530265808, 1.0410795211791992, 0.29732179641723633], 'facial_area': {'x': 181, 'y': 215, 'w': 656, 'h': 656}}",0
"{'embedding': [-0.468002587556839, -0.2924993932247162, -0.8366332054138184, 0.6295250654220581, 1.5329911708831787, -0.7440165877342224, -0.8684936165809631, 0.0632271021604538, 1.0622642040252686, 1.181334137916565, -0.3804146349430084, -1.6108955144882202, -0.9039705395698547, -0.02699681743979454, -0.4251786172389984, -0.12097150832414627, 2.2723231315612793, -0.7617907524108887, -1.3229175806045532, -0.8611569404602051, 1.192354679107666, 0.5635355114936829, 1.225764513015747, 0.8446546196937561, -0.3161817789077759, -1.1933441162109375, -0.4705250859260559, -0.04742389917373657, 2.17539119720459, -0.15495215356349945, 0.5385394096374512, -0.9296274781227112, -0.2020563781261444, -1.1058831214904785, 1.8993927240371704, 0.1943332999944687, -0.8515089750289917, 2.222550630569458, -0.21175912022590637, 0.4003138244152069, -1.7770167589187622, 0.1661606878042221, -0.6320115327835083, -0.5052490830421448, 0.1715422123670578, 0.7878085374832153, -0.7735233902931213, 0.18792979419231415, 0.3261404037475586, 0.3422776758670807, -1.699408769607544, 1.288465976715088, -1.0046859979629517, 0.5947765111923218, -0.8546869158744812, 0.9177355766296387, -0.743474543094635, -1.1483838558197021, -2.1956281661987305, -0.6021751761436462, -0.9055302143096924, 0.732608437538147, -0.2642081677913666, 0.25278517603874207, -1.801296353340149, 2.280928134918213, 0.340020090341568, 2.7679429054260254, 1.6021229028701782, -0.4749261140823364, -0.6091853380203247, 1.0621647834777832, -0.3760547339916229, -2.1941559314727783, 0.49307161569595337, 0.15746042132377625, -0.19605305790901184, -1.6879456043243408, -2.0868263244628906, -0.9268721342086792, -0.6709725260734558, 0.1087075024843216, 0.1710614711046219, 0.10080809891223907, -0.6822239756584167, 0.8766685128211975, -0.945656955242157, -1.4800580739974976, -0.41331037878990173, -0.6787593960762024, 1.8929386138916016, 0.6423946619033813, 1.3417116403579712, 1.1337960958480835, 0.44035717844963074, 0.8693578839302063, -0.18769074976444244, 1.6128196716308594, -0.3809603154659271, 0.05809169262647629, 0.15531110763549805, 2.409165859222412, 0.0061262547969818115, -0.3709075450897217, 1.213059425354004, 0.03317391872406006, -0.18045750260353088, -0.9166945219039917, -0.2610107958316803, -0.6658651828765869, -0.4180290102958679, 0.2976815700531006, -0.5276256799697876, -0.009849810972809792, -1.4067935943603516, 0.6323956251144409, -0.8632975816726685, 0.19747212529182434, -1.6564042568206787, -0.22740522027015686, -0.24275033175945282, 1.3481308221817017, 0.5025542378425598, -2.490004539489746, 0.31896013021469116, -0.4647267758846283, -0.2710570991039276, 0.054085467010736465], 'facial_area': {'x': 149, 'y': 190, 'w': 703, 'h': 703}}",0
"{'embedding': [-0.6325371265411377, -0.7954784631729126, -0.008458014577627182, -0.5111441612243652, -0.03005136549472809, 0.5408705472946167, -0.3380834758281708, -0.25324374437332153, -0.3402138352394104, 0.059462424367666245, 0.30607151985168457, 0.1013701930642128, 0.6981338262557983, -0.5442337989807129, -0.12693189084529877, -0.08734575659036636, 0.6032142639160156, -0.2309015691280365, 0.26691704988479614, -0.1006174385547638, 0.3576527237892151, -0.40468159317970276, -0.19818979501724243, -0.1130085214972496, 0.36644458770751953, -0.21014556288719177, 0.3591773509979248, 0.44303181767463684, -0.47268348932266235, -0.47576969861984253, -0.23298439383506775, 0.5556010603904724, -0.08146987855434418, -0.11786903440952301, 0.2689160406589508, 0.15328605473041534, 0.2261073887348175, -0.16978615522384644, 0.43818676471710205, -0.00255025178194046, 0.8694042563438416, 0.35037580132484436, 0.37002116441726685, 0.401623398065567, -0.15658552944660187, -0.7924614548683167, 0.461931973695755, -0.5100593566894531, 0.5052879452705383, -0.05490363389253616, -1.0500396490097046, 0.013063082471489906, 0.02308214083313942, -0.3813599646091461, -0.0233059860765934, 0.11881230771541595, 0.4422397017478943, -0.015866313129663467, -0.2726105749607086, -0.6216965913772583, -0.07243583351373672, -0.26973316073417664, -0.230935201048851, 0.3691999912261963, -0.2571064233779907, 0.41725271940231323, 0.32438164949417114, -0.09222030639648438, 0.25881698727607727, -0.4657317101955414, -0.31245139241218567, 0.08707320690155029, 0.025046899914741516, -0.31376194953918457, 0.402011513710022, -0.29496505856513977, -0.21684551239013672, 0.022301487624645233, 0.1427050232887268, 0.13629460334777832, 0.022716406732797623, -0.25211817026138306, 0.040341053158044815, 0.1130247563123703, 0.4497264623641968, 0.7347434163093567, 0.5332140326499939, 0.2043374925851822, -0.8396589756011963, 1.1887357234954834, 0.31905850768089294, 0.0006852243095636368, -0.46250009536743164, -0.22113358974456787, 0.5871232151985168, 0.745688796043396, -0.1962481141090393, -0.4672163724899292, -0.6623921394348145, 0.18737353384494781, -0.053138911724090576, 0.16966012120246887, 0.07094110548496246, -0.5365338325500488, -0.019732151180505753, -0.2539336085319519, 0.08083899319171906, -0.2752367854118347, 0.06013524532318115, -0.6270478367805481, 0.010224035009741783, 0.11716073006391525, 0.6593328714370728, 0.35202714800834656, -0.17474573850631714, -0.22971832752227783, -0.13658127188682556, 0.5674294233322144, 0.7946465611457825, 0.1557127684354782, -0.11024971306324005, -0.4599737823009491, 0.5792835354804993, 0.39572393894195557, 0.36253678798675537, -0.6122460961341858, 0.8467362523078918, 0.4727209508419037], 'facial_area': {'x': 165, 'y': 194, 'w': 684, 'h': 684}}",0
"{'embedding': [-0.5824885368347168, -0.22473421692848206, -0.6044511198997498, -0.06630826741456985, 0.9892605543136597, -0.024508345872163773, 0.2831457257270813, 0.07580794394016266, 0.8299584984779358, -0.2992725372314453, 0.4918344020843506, -0.267973929643631, -0.3504140377044678, -0.6035634279251099, -0.1351436823606491, -0.905750572681427, 0.07798007130622864, 0.39125746488571167, -0.6666554808616638, -0.7857357263565063, -0.024200715124607086, -0.4060794413089752, -0.19381499290466309, 0.22030171751976013, 0.38656458258628845, -0.18780651688575745, -0.03163422644138336, -0.49891209602355957, -0.8637539744377136, -0.026071850210428238, -0.05309833586215973, -0.031453508883714676, -0.031513575464487076, 0.19759711623191833, 0.8491021990776062, -0.30525898933410645, 1.0041652917861938, -0.5306016206741333, 0.7926256656646729, -0.8919637203216553, 0.1298021525144577, 0.8732636570930481, -0.01727527379989624, 0.2588353157043457, 0.016428546980023384, -0.1958073228597641, 0.2616201341152191, -0.38498416543006897, 0.8485679626464844, 0.35347479581832886, 0.02066551148891449, 0.30185508728027344, 0.6155164837837219, -1.7737603187561035, 0.22349335253238678, 0.662678599357605, 0.7984291911125183, -0.7226433753967285, 0.36407235264778137, -0.07854214310646057, 0.43310049176216125, 0.6023480296134949, -0.2505803406238556, 0.4504448175430298, 0.6603063941001892, 1.2255887985229492, -0.41102999448776245, 0.6727511286735535, 0.5664072632789612, -0.4511306881904602, 0.6011507511138916, -0.3922368288040161, -1.1479401588439941, -1.5320378541946411, 0.6594839692115784, -0.4768119156360626, -0.3315330147743225, 0.07121552526950836, -0.7538014650344849, -0.26149559020996094, -0.4204639792442322, -0.07483603060245514, 0.07170236110687256, 0.39720723032951355, 0.15170219540596008, 0.8411398530006409, -0.20151925086975098, 0.3672109842300415, -0.7773033380508423, 0.36680299043655396, 0.10687722265720367, 0.6594172716140747, -0.9715021848678589, 0.6926559805870056, 0.3013070225715637, 0.7049646377563477, 0.048230428248643875, -1.0519986152648926, -1.0287108421325684, 1.0158865451812744, -0.011611171066761017, -0.0044059231877326965, -0.17730602622032166, -1.2507553100585938, -0.6726295351982117, 0.17953605949878693, -0.46793630719184875, -1.0968378782272339, -0.5631969571113586, -0.06553442031145096, -0.35290995240211487, 0.1613604575395584, 0.2556194067001343, -0.008076056838035583, 0.15222115814685822, 0.5884299278259277, -0.6738914251327515, 0.32438889145851135, 0.4642787277698517, 0.9988548755645752, -0.2510402202606201, -0.783998966217041, 0.9281638860702515, -0.33323949575424194, -0.24488021433353424, -1.1446388959884644, 0.8477338552474976, -0.4032880663871765], 'facial_area': {'x': 170, 'y': 187, 'w': 690, 'h': 690}}",0
"{'embedding': [0.08008653670549393, -0.5128474831581116, -1.5844521522521973, 2.209155321121216, 1.487999677658081, -0.9374257922172546, 0.149205282330513, -0.3999555706977844, -0.18753951787948608, 1.8949226140975952, -0.7938497066497803, -2.2028675079345703, -0.6494594812393188, -0.5081253051757812, 0.09930090606212616, -0.23475773632526398, 2.376415729522705, -0.5239078402519226, -0.93975830078125, -0.27756088972091675, 0.6539617776870728, 0.9540203213691711, 0.8403095006942749, 0.6837287545204163, 0.5578684210777283, -0.6288930773735046, 1.2499825954437256, 0.15335606038570404, 1.845552921295166, 0.1272808164358139, 0.744637131690979, -0.3242931365966797, 0.2278943508863449, -1.3720731735229492, 1.9817066192626953, -0.47296571731567383, -0.9982839822769165, 2.0469682216644287, -0.4008784890174866, 0.08177419006824493, -2.003431558609009, 0.146601602435112, 0.04938856512308121, -1.2353837490081787, 1.6159945726394653, -0.8452964425086975, -0.008375434204936028, 0.7593178749084473, 1.498228907585144, -0.013062186539173126, -1.4499049186706543, 1.664031982421875, -0.64061039686203, 0.7178760170936584, -0.9523418545722961, 1.2125579118728638, -0.39437201619148254, -0.1613234430551529, -1.4962215423583984, 0.21464213728904724, -0.9234963655471802, 0.12392626702785492, 0.6669329404830933, 0.12349177896976471, -1.1794986724853516, 1.720202922821045, 1.0766324996948242, 3.0979747772216797, 0.5426523089408875, 1.0769400596618652, 0.1576755791902542, 0.14240148663520813, -0.6782137751579285, -0.8939031362533569, 0.05591444671154022, -0.9915285706520081, 0.4426141083240509, -1.4327199459075928, -2.178943157196045, -0.5293933749198914, -0.2263319194316864, 0.7797003984451294, 1.0394079685211182, 0.7482941746711731, -0.5827348232269287, 1.827925443649292, -0.5637461543083191, -2.8281068801879883, -0.7195439338684082, -2.245004892349243, 0.9498682618141174, 1.091309666633606, 1.2535535097122192, 1.1615124940872192, -0.2541379928588867, -0.4103657007217407, -1.3524445295333862, 1.0642691850662231, -0.12219488620758057, 0.9370343685150146, -0.9042028188705444, 2.2811107635498047, 0.5655137300491333, -0.284747838973999, 0.8811253309249878, -0.14582094550132751, -0.8536247611045837, -0.648787260055542, -0.6136993765830994, -0.0967257097363472, -1.66266930103302, 0.5310632586479187, -0.5450979471206665, 0.7827629446983337, -1.387086272239685, 0.021293997764587402, -1.1841015815734863, 0.2542654573917389, -1.8500971794128418, 0.5985684394836426, 1.1426887512207031, 1.1140854358673096, 0.3947039246559143, -1.7503125667572021, 0.07381796091794968, 0.9009148478507996, 0.46764713525772095, 0.14912885427474976], 'facial_area': {'x': 169, 'y': 202, 'w': 681, 'h': 681}}",0
"{'embedding': [-1.050964117050171, -1.0011177062988281, -0.31566122174263, 1.207276463508606, 1.8385742902755737, -0.34135931730270386, -0.04298129677772522, 0.33334800601005554, -0.16223615407943726, 1.8615010976791382, 0.4309394359588623, -2.04032301902771, -0.23375438153743744, -0.18269173800945282, -0.06529136002063751, 0.11613288521766663, 2.81223201751709, -0.5430850982666016, -0.923214316368103, -1.0419580936431885, 0.5617066621780396, -0.3835790753364563, 0.3729230761528015, 0.3471769690513611, -0.9512958526611328, -1.9378526210784912, 1.1343529224395752, 0.4123974144458771, 0.7141153216362, 0.323101669549942, 1.376405119895935, -0.11770959198474884, 0.8405313491821289, -1.2445679903030396, 1.6245399713516235, -0.057906053960323334, -1.2162611484527588, 0.9384801983833313, -1.0777130126953125, 0.8729597330093384, -1.1413384675979614, -0.37014949321746826, 0.42453545331954956, -0.2132558822631836, 1.0202542543411255, -0.8392487168312073, 0.08504201471805573, 1.0095199346542358, 1.5716378688812256, -0.026601053774356842, -1.0944504737854004, 1.7035021781921387, -0.9465939998626709, 1.2809884548187256, -0.3329889178276062, 0.2240367829799652, -0.9775464534759521, -0.8367881774902344, -2.6434311866760254, -0.6168591976165771, -1.1572096347808838, 0.43372881412506104, 0.7391352653503418, 0.9033346176147461, -0.9992290139198303, 1.7361562252044678, 0.3448094427585602, 3.0651488304138184, 1.3139545917510986, 0.3690738081932068, -0.778265118598938, 0.15087613463401794, 0.09817913174629211, -0.9284003973007202, 0.2585766017436981, 0.4838745892047882, 0.014840848743915558, -1.4909467697143555, -1.7748198509216309, 0.07232856750488281, -0.7428008913993835, 1.659372329711914, 0.6935000419616699, -0.42269080877304077, 0.16414183378219604, 1.5151453018188477, -0.9237520098686218, -1.4418718814849854, -0.7556521892547607, 0.15007805824279785, 0.4365382790565491, 1.9574220180511475, 1.7357462644577026, 2.1938564777374268, 0.48518794775009155, 0.7940064668655396, -1.3405812978744507, 1.9752626419067383, -0.5793538689613342, 1.2729893922805786, -0.1768856942653656, 1.8075318336486816, 0.2282697558403015, -0.25243905186653137, 0.7252411246299744, 0.046426162123680115, -1.1420729160308838, 0.9769847393035889, -0.6830723881721497, -1.2567005157470703, -1.7115724086761475, 0.8596343398094177, -0.8343597650527954, -0.14089645445346832, -2.139664888381958, 0.5233465433120728, 0.2875116467475891, -0.8260091543197632, -1.7372592687606812, -0.6834657192230225, 0.14599668979644775, 0.6482733488082886, 0.4130706787109375, -2.1484320163726807, 0.556623101234436, 0.1286429464817047, -0.5212749242782593, 0.372857004404068], 'facial_area': {'x': 163, 'y': 206, 'w': 695, 'h': 695}}",0
"{'embedding': [0.0025632381439208984, 0.4709664285182953, -1.5141583681106567, 1.6454336643218994, 1.4735581874847412, -0.7996535301208496, 1.0653431415557861, -0.32468611001968384, -0.020112892612814903, 2.0357863903045654, 0.49328649044036865, -2.051708936691284, -0.39620161056518555, 0.22010907530784607, -0.8079797029495239, -0.25066816806793213, 2.1450366973876953, -1.557498574256897, -1.4324144124984741, -0.24454618990421295, 1.2896974086761475, 0.5697789788246155, 1.2972383499145508, 0.200352281332016, 0.26410436630249023, -1.0117558240890503, 0.042406998574733734, -0.7018094658851624, 1.224068284034729, 0.16281042993068695, 0.8062542676925659, -1.179168701171875, -0.4687056541442871, -0.561531662940979, 0.6110336780548096, -0.0184590183198452, -0.7911274433135986, 1.9367923736572266, -0.8457924723625183, -0.506737232208252, -1.6042582988739014, 0.8843104243278503, -0.3048243522644043, 0.8975536227226257, 0.12078572809696198, 0.33864766359329224, -0.043636009097099304, 0.37115830183029175, 0.9269285798072815, 0.0032516121864318848, -1.3453820943832397, 1.9443156719207764, -1.8151299953460693, -0.836870014667511, -1.2214523553848267, 1.0314708948135376, 0.5074931383132935, -0.010932441800832748, -1.009561538696289, -0.7432354092597961, -1.2826063632965088, 1.2891038656234741, -0.38389116525650024, 0.34710320830345154, -0.6212701797485352, 1.4065401554107666, -0.31655362248420715, 2.642991065979004, 0.5371093153953552, 0.3445180356502533, -0.3624784052371979, 1.1946948766708374, -0.8397595286369324, -1.7971763610839844, 0.25601696968078613, 0.9220166802406311, 0.09701643884181976, -1.3050435781478882, -2.9143741130828857, -0.5768312811851501, -0.9431302547454834, 1.3173571825027466, 0.5355879068374634, 0.07548051327466965, -0.09207283705472946, 1.2913053035736084, -1.5710269212722778, -1.2899726629257202, -0.938140869140625, -1.2855274677276611, 1.846836805343628, 0.7308303713798523, 2.306191921234131, 2.0829615592956543, 0.40423384308815, 0.1598907858133316, -0.0368831530213356, 1.5187366008758545, -0.29039132595062256, -0.11998095363378525, -0.14436641335487366, 0.9174336791038513, -0.1573667824268341, -1.022947072982788, 0.2842130661010742, -0.3839203119277954, 0.35662761330604553, 0.39818450808525085, -0.08149626851081848, -0.27557048201560974, -1.3738272190093994, 0.778606116771698, 0.276141881942749, 1.0179550647735596, -0.9075497388839722, 0.8158117532730103, -0.19274483621120453, -0.6218211650848389, -1.4646632671356201, 1.1045831441879272, 1.6225382089614868, 1.5539525747299194, -0.5186237692832947, -2.220785617828369, 0.08981749415397644, -1.6020451784133911, -0.3468515872955322, -0.5459811687469482], 'facial_area': {'x': 182, 'y': 205, 'w': 669, 'h': 669}}",0
"{'embedding': [-0.5509090423583984, -0.3451174795627594, 0.003339022397994995, -0.20677633583545685, 0.6300817728042603, 0.26769721508026123, -0.012179337441921234, 0.29836198687553406, -0.1267932653427124, 0.176174595952034, -0.0035347044467926025, 0.16851182281970978, 0.4104934334754944, -0.699524998664856, -0.4453705847263336, -0.6055607795715332, 0.03813624754548073, 0.05397675186395645, 0.7139185070991516, -0.3791232705116272, 0.10636267066001892, -0.03557050973176956, 0.0771021917462349, 0.14411449432373047, -0.3548485040664673, -0.11242570728063583, 0.2424519658088684, 0.3144603967666626, -0.9500808715820312, -0.6837732791900635, -0.9939368963241577, -0.12854014337062836, -0.5727351903915405, -0.2532992959022522, 0.4131745994091034, 0.46392613649368286, 0.01952461525797844, -0.24423319101333618, 0.051020920276641846, 0.16171276569366455, 0.4361400008201599, 0.4120778739452362, 0.13854366540908813, 0.38693884015083313, -0.08832211047410965, -0.6723200678825378, 0.10926260054111481, 0.03395911678671837, 0.7368472218513489, -0.527864933013916, -1.007461667060852, 0.413980633020401, 0.18155397474765778, -0.32701385021209717, -0.3401760756969452, 0.19235044717788696, 0.5507693886756897, -0.10944180190563202, -0.7069012522697449, -0.5698258876800537, -0.36323314905166626, 0.17261646687984467, -0.30153676867485046, 0.32524633407592773, -0.11349471658468246, 0.62850421667099, 0.42037495970726013, 0.3848670721054077, 0.044046662747859955, 0.04820793867111206, 0.11919549852609634, 0.50617516040802, 0.24734249711036682, -0.2556273937225342, 0.57436603307724, -0.43120646476745605, -0.3473408818244934, 0.7907515168190002, -0.24319523572921753, 0.0953105092048645, -0.1664864718914032, -0.47941210865974426, -0.40663695335388184, -0.6316748857498169, -0.1794222593307495, 0.9360549449920654, 0.08006668090820312, 0.08724093437194824, -0.20836418867111206, 0.9191891551017761, 0.9359122514724731, 0.6688396334648132, -0.35005366802215576, 0.1017143726348877, 0.5126009583473206, 0.48906782269477844, -0.12105149030685425, -0.7521211504936218, -0.24759992957115173, 0.5472187399864197, 0.29073721170425415, 0.3835127055644989, 0.17517215013504028, -0.9621822834014893, 0.3464471399784088, -0.4737975597381592, 0.14637136459350586, -0.9288043975830078, 0.09622089564800262, -0.681311309337616, -0.12070563435554504, 0.1349220871925354, 0.20631761848926544, 1.0485177040100098, -0.12847688794136047, 0.3325083553791046, -0.6286636590957642, 0.7989550828933716, 1.1177195310592651, 0.9219914674758911, -1.2286499738693237, -0.3303876221179962, -0.06201715022325516, 0.06518297642469406, 0.5508564114570618, -0.3856603503227234, 1.3664593696594238, 0.0933343917131424], 'facial_area': {'x': 165, 'y': 207, 'w': 696, 'h': 696}}",0
